url_length,dot_count,hyphen_count,has_at,uses_https,digit_count,special_char_count,keyword_count,has_ip,is_shortened,domain_length,domain_dot_count,subdomain_count,path_length,query_length,query_parameter_count,suspicious_tld,domain_letter_count,digit_ratio,vowel_count,consonant_count,unique_char_count,domain_entropy,label
73,7,1,0,1,19,4,0,0,0,43,2,1,22,0,0,0,21,0.4418604651162791,4,17,22,4.175696440497044,1
73,4,1,0,1,6,5,0,0,0,19,1,0,46,0,0,0,17,0.3157894736842105,6,11,15,3.826874881864637,1
27,1,0,0,0,4,4,0,0,1,11,1,0,9,0,0,0,10,0.36363636363636365,3,7,11,3.459431618637298,1
69,4,0,0,1,12,9,0,0,0,15,1,0,1,44,2,0,14,0.8,6,8,12,3.4565647621309536,1
31,3,0,0,1,0,4,0,0,0,10,1,0,13,0,0,0,9,0.0,2,7,9,3.121928094887362,1
49,4,2,0,1,2,6,0,0,0,16,1,0,7,17,1,1,13,0.125,6,7,13,3.625,1
73,7,1,0,1,4,7,0,0,0,30,2,1,35,0,0,0,28,0.13333333333333333,13,15,15,3.6980685120588386,1
36,2,1,0,1,2,4,0,0,0,27,2,1,1,0,0,0,22,0.07407407407407407,9,13,17,3.9302703722934544,1
73,7,0,0,1,1,6,0,0,0,30,2,1,35,0,0,0,28,0.03333333333333333,13,15,15,3.6980685120588386,1
73,7,1,0,1,3,7,0,0,0,30,2,1,35,0,0,0,28,0.1,13,15,15,3.6980685120588386,1
66,6,1,0,1,21,4,0,0,0,43,2,1,15,0,0,0,19,0.4883720930232558,7,12,22,4.297675800911846,1
31,2,0,0,1,2,4,0,0,0,18,2,1,5,0,0,0,14,0.1111111111111111,4,10,15,3.8365916681089787,1
45,2,1,0,1,0,4,0,0,0,36,2,1,1,0,0,0,33,0.0,14,19,17,3.8847954873731334,1
44,2,1,0,1,0,4,0,0,0,35,2,1,1,0,0,0,32,0.0,12,20,17,3.9077148025974378,1
